exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
Taxes less subsidies on products purchased: Total,M.EUR,,economic,,,1,1,
Other net taxes on production,M.EUR,,economic,,,1,1,
"Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled",M.EUR,,economic,,,1,1,
"Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled",M.EUR,,economic,,,1,1,
"Compensation of employees; wages, salaries, & employers' social contributions: High-skilled",M.EUR,,economic,,,1,1,
Operating surplus: Consumption of fixed capital,M.EUR,,economic,,,1,1,
Operating surplus: Rents on land,M.EUR,,economic,,,1,1,
Operating surplus: Royalties on resources,M.EUR,,economic,,,1,1,
Operating surplus: Remaining net operating surplus,M.EUR,,economic,,,1,1,
Employment: Low-skilled male,1000 p,,economic,,,1,1,
Employment: Low-skilled female,1000 p,,economic,,,1,1,
Employment: Medium-skilled male,1000 p,,economic,,,1,1,
Employment: Medium-skilled female,1000 p,,economic,,,1,1,
Employment: High-skilled male,1000 p,,economic,,,1,1,
Employment: High-skilled female,1000 p,,economic,,,1,1,
Employment hours: Low-skilled male,M.hr,,economic,,,1,1,
Employment hours: Low-skilled female,M.hr,,economic,,,1,1,
Employment hours: Medium-skilled male,M.hr,,economic,,,1,1,
Employment hours: Medium-skilled female,M.hr,,economic,,,1,1,
Employment hours: High-skilled male,M.hr,,economic,,,1,1,
Employment hours: High-skilled female,M.hr,,economic,,,1,1,
Employment: Vulnerable employment,1000 p,,economic,,,1,1,
Employment hours: Vulnerable employment,M.hr,,economic,,,1,1,
As - combustion - air,kg,Arsenic ion,air,,kg,1,0,
As - non combustion - Agglomeration plant - pellets - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Agglomeration plant - sinter - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Glass production - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Production of coke oven coke - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Production of gascoke - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Steel production: basic oxygen furnace - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Steel production: electric arc furnace - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
As - non combustion - Steel production: open hearth furnace - air,kg,Arsenic ion,air,non-urban air or from high stacks,kg,1,0,
B(a)P - non combustion - Primary aluminium production - air,kg,Benzo(a)pyrene,air,non-urban air or from high stacks,kg,1,0,
B(a)P - non combustion - Production of coke oven coke - air,kg,Benzo(a)pyrene,air,non-urban air or from high stacks,kg,1,0,
